DATE_ID,DATE,DAY_NUMBER,DAY_NAME,MONTH_NUMBER,MONTH_NAME,YEAR
20180101,2018-01-01,1,Monday,1,January,2018
20180102,2018-01-02,2,Tuesday,1,January,2018
20180103,2018-01-03,3,Wednesday,1,January,2018
20180104,2018-01-04,4,Thursday,1,January,2018
20180105,2018-01-05,5,Friday,1,January,2018
20180106,2018-01-06,6,Saturday,1,January,2018
20180107,2018-01-07,7,Sunday,1,January,2018
20180108,2018-01-08,8,Monday,1,January,2018
20180109,2018-01-09,9,Tuesday,1,January,2018
20180110,2018-01-10,10,Wednesday,1,January,2018
20180111,2018-01-11,11,Thursday,1,January,2018
20180112,2018-01-12,12,Friday,1,January,2018
20180113,2018-01-13,13,Saturday,1,January,2018
20180114,2018-01-14,14,Sunday,1,January,2018
20180115,2018-01-15,15,Monday,1,January,2018
20180116,2018-01-16,16,Tuesday,1,January,2018
20180117,2018-01-17,17,Wednesday,1,January,2018
20180118,2018-01-18,18,Thursday,1,January,2018
20180119,2018-01-19,19,Friday,1,January,2018
20180120,2018-01-20,20,Saturday,1,January,2018
20180121,2018-01-21,21,Sunday,1,January,2018
20180122,2018-01-22,22,Monday,1,January,2018
20180123,2018-01-23,23,Tuesday,1,January,2018
20180124,2018-01-24,24,Wednesday,1,January,2018
20180125,2018-01-25,25,Thursday,1,January,2018
20180126,2018-01-26,26,Friday,1,January,2018
20180127,2018-01-27,27,Saturday,1,January,2018
20180128,2018-01-28,28,Sunday,1,January,2018
20180129,2018-01-29,29,Monday,1,January,2018
20180130,2018-01-30,30,Tuesday,1,January,2018
20180131,2018-01-31,31,Wednesday,1,January,2018
20180201,2018-02-01,1,Thursday,2,February,2018
20180202,2018-02-02,2,Friday,2,February,2018
20180203,2018-02-03,3,Saturday,2,February,2018
20180204,2018-02-04,4,Sunday,2,February,2018
20180205,2018-02-05,5,Monday,2,February,2018
20180206,2018-02-06,6,Tuesday,2,February,2018
20180207,2018-02-07,7,Wednesday,2,February,2018
20180208,2018-02-08,8,Thursday,2,February,2018
20180209,2018-02-09,9,Friday,2,February,2018
20180210,2018-02-10,10,Saturday,2,February,2018
20180211,2018-02-11,11,Sunday,2,February,2018
20180212,2018-02-12,12,Monday,2,February,2018
20180213,2018-02-13,13,Tuesday,2,February,2018
20180214,2018-02-14,14,Wednesday,2,February,2018
20180215,2018-02-15,15,Thursday,2,February,2018
20180216,2018-02-16,16,Friday,2,February,2018
20180217,2018-02-17,17,Saturday,2,February,2018
20180218,2018-02-18,18,Sunday,2,February,2018
